time,student_id,venue_id,meal_type
2013-01-06 17:42:49,1,5.0,Supper
2013-01-07 09:32:57,1,4.0,Breakfast
2013-01-07 14:16:07,1,2.0,Lunch
2013-01-08 12:51:22,1,2.0,Lunch
2013-01-09 13:46:44,1,1.0,Lunch
2013-01-09 18:33:18,1,7.0,Supper
2013-01-10 17:57:07,1,5.0,Supper
2013-01-11 10:39:39,1,1.0,Snack
2013-01-11 14:01:56,1,2.0,Lunch
2013-01-15 11:58:29,1,2.0,Snack
2013-01-15 13:07:26,1,2.0,Lunch
2013-01-15 19:10:11,1,5.0,Supper
2013-01-16 11:04:00,1,2.0,Lunch
2013-01-16 13:38:13,1,1.0,Snack
2013-01-17 12:10:04,1,2.0,Lunch
2013-01-18 08:51:10,1,1.0,Breakfast
2013-01-18 12:08:09,1,2.0,Lunch
2013-01-19 14:04:51,1,2.0,Lunch
2013-01-21 11:57:26,1,2.0,Lunch
2013-01-21 14:03:13,1,2.0,Snack
2013-01-22 11:53:25,1,2.0,Snack
2013-01-22 13:18:12,1,7.0,Lunch
2013-01-23 13:45:02,1,7.0,Lunch
2013-01-24 12:35:23,1,4.0,Lunch
2013-01-24 14:21:06,1,3.0,Snack
2013-01-24 15:05:32,1,2.0,Lunch
2013-01-24 18:29:34,1,5.0,Supper
2013-01-25 08:54:45,1,1.0,Breakfast
2013-01-25 17:06:55,1,2.0,Supper
2013-01-26 11:08:23,1,2.0,Lunch
2013-01-26 23:45:30,1,2.0,Supper
2013-01-27 11:00:55,1,2.0,Lunch
2013-01-27 15:20:20,1,2.0,Snack
2013-01-28 11:10:42,1,2.0,Lunch
2013-01-28 13:34:18,1,1.0,Lunch
2013-01-29 12:45:31,1,5.0,Lunch
2013-01-30 12:04:02,1,2.0,Lunch
2013-01-30 19:43:46,1,5.0,Supper
2013-01-31 16:57:02,1,2.0,Supper
2013-01-31 17:31:16,1,2.0,Supper
2013-02-01 11:02:49,1,2.0,Lunch
2013-02-01 17:54:47,1,2.0,Supper
2013-02-01 20:05:36,1,2.0,Supper
2013-02-04 14:14:56,1,1.0,Lunch
2013-02-04 18:35:09,1,5.0,Supper
2013-02-05 08:48:37,1,1.0,Snack
2013-02-05 18:21:40,1,5.0,Supper
2013-02-06 09:29:27,1,1.0,Breakfast
2013-02-06 12:07:15,1,2.0,Snack
2013-02-07 14:17:40,1,1.0,Snack
2013-02-07 15:42:56,1,2.0,Snack
2013-02-07 17:14:22,1,2.0,Snack
2013-02-08 09:59:22,1,7.0,Breakfast
2013-02-08 13:37:34,1,2.0,Lunch
2013-02-10 17:49:14,1,2.0,Snack
2013-02-10 19:24:45,1,2.0,Supper
2013-02-11 11:05:34,1,2.0,Lunch
2013-02-11 13:49:21,1,2.0,Lunch
2013-02-12 09:58:10,1,1.0,Breakfast
2013-02-12 13:13:13,1,5.0,Lunch
2013-02-12 18:40:05,1,2.0,Supper
2013-02-13 11:11:00,1,2.0,Snack
2013-02-13 12:04:12,1,5.0,Lunch
2013-02-14 18:32:46,1,2.0,Supper
2013-02-15 11:10:41,1,2.0,Snack
2013-02-15 14:43:03,1,2.0,Lunch
2013-02-16 11:47:41,1,1.0,Lunch
2013-02-16 20:46:28,1,2.0,Supper
2013-02-17 11:52:58,1,2.0,Lunch
2013-02-17 18:17:53,1,5.0,Supper
2013-02-18 13:44:34,1,5.0,Lunch
2013-02-18 18:54:23,1,5.0,Supper
2013-02-18 21:38:02,1,4.0,Snack
2013-02-19 18:31:06,1,5.0,Supper
2013-02-20 11:10:26,1,2.0,Lunch
2013-02-21 13:06:47,1,1.0,Lunch
2013-02-21 18:16:22,1,2.0,Supper
2013-02-22 11:14:48,1,2.0,Snack
2013-02-22 12:16:53,1,2.0,Lunch
2013-02-25 18:24:40,1,5.0,Supper
2013-02-26 09:29:13,1,1.0,Breakfast
2013-02-26 19:37:46,1,5.0,Supper
2013-02-27 12:14:07,1,2.0,Lunch
2013-02-28 19:15:04,1,7.0,Supper
2013-03-01 11:04:09,1,2.0,Snack
2013-03-02 18:59:41,1,4.0,Supper
2013-03-03 12:28:15,1,1.0,Lunch
2013-03-03 13:25:21,1,1.0,Lunch
2013-03-03 16:43:07,1,1.0,Snack
2013-03-03 18:57:38,1,1.0,Supper
2013-03-03 19:43:07,1,2.0,Supper
2013-03-04 14:08:17,1,5.0,Lunch
2013-03-05 13:25:10,1,1.0,Lunch
2013-03-05 19:12:51,1,5.0,Supper
2013-03-06 11:56:03,1,1.0,Lunch
2013-03-06 18:58:13,1,7.0,Supper
2013-03-07 19:35:39,1,5.0,Supper
2013-03-08 09:27:49,1,1.0,Breakfast
2013-03-08 12:21:10,1,2.0,Snack
2013-03-08 19:49:19,1,2.0,Supper
2013-03-08 23:20:53,1,2.0,Snack
2013-03-09 13:04:18,1,1.0,Lunch
2013-03-09 15:09:51,1,1.0,Lunch
2013-03-09 18:55:41,1,5.0,Supper
2013-03-10 16:56:48,1,6.0,Snack
2013-03-10 18:20:48,1,6.0,Snack
2013-03-10 18:56:04,1,6.0,Snack
2013-03-11 19:51:09,1,2.0,Supper
2013-03-12 22:27:06,1,4.0,Snack
2013-03-13 18:47:20,1,5.0,Supper
2013-03-14 13:48:09,1,1.0,Lunch
2013-03-14 15:34:48,1,7.0,Snack
2013-03-15 14:00:03,1,4.0,Lunch
2013-03-15 14:20:20,1,2.0,Lunch
2013-03-15 15:13:11,1,2.0,Lunch
2013-03-24 09:47:00,1,1.0,Lunch
2013-03-24 10:18:43,1,1.0,Lunch
2013-03-24 10:30:03,1,1.0,Lunch
2013-03-24 10:48:22,1,1.0,Lunch
2013-03-24 14:38:30,1,1.0,Lunch
2013-03-24 18:58:06,1,5.0,Supper
2013-03-25 12:36:21,1,5.0,Lunch
2013-03-25 22:54:22,1,7.0,Supper
2013-03-26 14:28:13,1,7.0,Lunch
2013-03-27 04:45:45,1,5.0,Lunch
2013-03-27 12:22:11,1,5.0,Lunch
2013-03-27 20:19:18,1,2.0,Supper
2013-03-28 13:21:31,1,2.0,Lunch
2013-03-28 19:39:28,1,7.0,Supper
2013-03-28 23:53:09,1,2.0,Lunch
2013-03-29 12:41:49,1,2.0,Lunch
2013-03-29 16:13:04,1,2.0,Snack
2013-03-29 19:32:01,1,5.0,Supper
2013-03-29 19:45:25,1,5.0,Supper
2013-03-30 00:32:58,1,1.0,Lunch
2013-03-30 12:08:45,1,1.0,Lunch
2013-03-30 22:27:26,1,2.0,Lunch
2013-03-31 18:49:27,1,2.0,Lunch
2013-04-01 02:45:54,1,2.0,Lunch
2013-04-01 12:42:56,1,2.0,Lunch
2013-04-01 16:42:43,1,1.0,Snack
2013-04-01 16:44:44,1,4.0,Snack
2013-04-02 13:00:31,1,5.0,Lunch
2013-04-02 20:16:49,1,2.0,Snack
2013-04-03 06:03:04,1,1.0,Lunch
2013-04-03 12:58:42,1,1.0,Lunch
2013-04-04 07:28:35,1,4.0,Snack
2013-04-04 11:40:50,1,4.0,Snack
2013-04-04 13:03:11,1,2.0,Snack
2013-04-04 19:28:03,1,7.0,Supper
2013-04-05 06:08:42,1,4.0,Breakfast
2013-04-05 10:56:58,1,4.0,Breakfast
2013-04-05 15:21:53,1,4.0,Lunch
2013-04-06 01:26:41,1,2.0,Lunch
2013-04-06 09:39:30,1,2.0,Lunch
2013-04-06 14:16:29,1,2.0,Lunch
2013-04-06 18:08:14,1,5.0,Supper
2013-04-07 21:21:54,1,5.0,Lunch
2013-04-08 12:34:08,1,5.0,Lunch
2013-04-08 16:35:10,1,2.0,Supper
2013-04-08 19:10:36,1,7.0,Supper
2013-04-08 21:56:03,1,4.0,Snack
2013-04-08 22:14:27,1,2.0,Snack
2013-04-09 04:50:01,1,4.0,Breakfast
2013-04-10 02:59:22,1,4.0,Breakfast
2013-04-10 22:33:15,1,4.0,Breakfast
2013-04-11 02:03:16,1,4.0,Breakfast
2013-04-11 10:14:02,1,4.0,Breakfast
2013-04-11 16:50:25,1,2.0,Snack
2013-04-12 02:44:19,1,2.0,Lunch
2013-04-12 12:44:58,1,2.0,Lunch
2013-04-13 13:13:16,1,5.0,Lunch
2013-04-13 19:18:20,1,5.0,Supper
2013-04-13 22:54:36,1,5.0,Lunch
2013-04-14 23:14:15,1,5.0,Lunch
2013-04-15 12:29:20,1,5.0,Lunch
2013-04-15 16:42:25,1,2.0,Supper
2013-04-16 01:52:24,1,7.0,Snack
2013-04-16 04:24:02,1,7.0,Snack
2013-04-16 17:23:15,1,7.0,Snack
2013-04-17 04:01:47,1,2.0,Lunch
2013-04-17 13:07:37,1,2.0,Lunch
2013-04-18 13:13:52,1,2.0,Lunch
2013-04-18 18:25:47,1,7.0,Supper
2013-04-19 00:32:42,1,2.0,Snack
2013-04-19 12:41:42,1,2.0,Snack
2013-04-19 15:44:39,1,2.0,Snack
2013-04-19 23:23:20,1,2.0,Supper
2013-04-20 06:44:52,1,2.0,Lunch
2013-04-20 11:36:33,1,2.0,Lunch
2013-04-20 14:49:43,1,2.0,Lunch
2013-04-20 17:02:25,1,2.0,Snack
2013-04-21 12:18:52,1,2.0,Lunch
2013-04-21 15:21:07,1,2.0,Lunch
2013-04-22 09:39:31,1,4.0,Breakfast
2013-04-22 12:37:31,1,5.0,Lunch
2013-04-22 14:30:11,1,2.0,Lunch
2013-04-23 20:20:14,1,2.0,Supper
2013-04-24 18:39:34,1,1.0,Supper
2013-04-25 12:53:00,1,2.0,Lunch
2013-04-26 12:25:12,1,5.0,Lunch
2013-04-26 18:03:22,1,5.0,Supper
2013-04-26 19:31:29,1,5.0,Supper
2013-04-28 07:47:46,1,7.0,Snack
2013-04-28 19:34:02,1,7.0,Snack
2013-04-28 21:44:49,1,7.0,Snack
2013-04-29 05:50:08,1,7.0,Snack
2013-04-29 12:46:53,1,7.0,Snack
2013-04-29 16:50:44,1,2.0,Snack
2013-04-30 05:58:15,1,2.0,Lunch
2013-04-30 14:42:05,1,2.0,Lunch
2013-05-01 12:19:22,1,5.0,Lunch
2013-05-01 14:36:11,1,1.0,Lunch
2013-05-02 11:36:46,1,4.0,Lunch
2013-05-02 15:04:37,1,2.0,Snack
2013-05-03 10:51:34,1,4.0,Breakfast
2013-05-03 12:38:37,1,2.0,Snack
2013-05-03 14:26:51,1,1.0,Snack
2013-05-03 20:45:27,1,2.0,Supper
2013-05-04 11:19:37,1,5.0,Lunch
2013-05-06 12:37:13,1,5.0,Lunch
2013-05-06 16:39:16,1,2.0,Snack
2013-05-06 19:23:45,1,7.0,Supper
2013-05-07 05:04:20,1,7.0,Snack
2013-05-07 11:56:48,1,7.0,Snack
2013-05-07 20:14:03,1,2.0,Supper
2013-05-08 12:20:12,1,5.0,Lunch
2013-05-08 17:26:10,1,7.0,Supper
2013-05-09 13:12:14,1,2.0,Lunch
2013-05-09 15:05:58,1,2.0,Lunch
2013-05-09 17:29:15,1,4.0,Snack
2013-05-09 17:49:21,1,2.0,Snack
2013-05-09 20:15:15,1,2.0,Supper
2013-05-10 10:55:33,1,4.0,Breakfast
2013-05-10 18:39:43,1,2.0,Supper
2013-05-10 23:57:50,1,2.0,Snack
2013-05-11 13:23:41,1,4.0,Lunch
2013-05-11 18:37:46,1,2.0,Supper
2013-05-13 12:57:54,1,2.0,Snack
2013-05-13 17:07:19,1,2.0,Snack
2013-05-14 12:59:46,1,2.0,Lunch
2013-05-15 10:29:09,1,1.0,Snack
2013-05-15 11:34:49,1,7.0,Snack
2013-05-15 20:11:22,1,5.0,Supper
2013-05-16 12:29:34,1,2.0,Lunch
2013-05-17 00:21:39,1,7.0,Supper
2013-05-17 17:58:20,1,2.0,Supper
2013-05-18 10:52:39,1,1.0,Breakfast
2013-05-19 18:07:59,1,5.0,Supper
2013-05-21 14:19:27,1,7.0,Lunch
2013-05-21 17:28:43,1,2.0,Supper
2013-05-21 22:20:39,1,2.0,Supper
2013-05-22 13:32:56,1,1.0,Lunch
2013-05-22 17:40:38,1,2.0,Supper
2013-05-23 13:28:58,1,2.0,Snack
2013-05-23 20:07:59,1,2.0,Supper
2013-05-24 14:02:38,1,5.0,Lunch
2013-05-24 19:38:08,1,2.0,Supper
2013-05-25 11:00:37,1,1.0,Lunch
2013-05-25 22:32:52,1,2.0,Supper
2013-05-26 12:27:15,1,2.0,Snack
2013-05-26 17:59:31,1,2.0,Snack
2013-05-27 18:08:46,1,5.0,Supper
2013-05-28 14:43:11,1,7.0,Lunch
2013-05-28 20:11:29,1,5.0,Supper
2013-05-29 00:26:54,1,4.0,Snack
2013-05-29 12:31:55,1,5.0,Lunch
2013-05-30 14:35:05,1,1.0,Lunch
2013-05-30 19:25:47,1,2.0,Supper
2013-05-31 15:29:09,1,1.0,Lunch
